Manufacturer,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
Acura,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,3,3,3,13
Audi,,,,,,,,,,,,,,,,,,,,,,,6,6,7,7,4,1,7,38
Bentley Motors,,,,,,,,,,,,,,,,,,,,,3,3,4,4,3, ,,,,17
BMW,,,,,,,,,,,,,,,,,,,,1,3,1,3,6,6,5,7,9,9,50
Buick,,,,,,,,,,,,,,,,,1,,1,1,3,4,5,1,3,2,,1,1,23
BYD Motors,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2
Cadillac,,,,,,,,,,,,,,,,,,,2,2,4,4,6,4,2,1,1,1,,27
Chevrolet,1,2,3,,,,1,4,4,6,5,7,7,8,7,8,9,11,10,11,14,20,26,24,30,27,24,31,21,321
Chrysler,,,,,,,,,2,2,3,2,4,1,1,1,3,3,4,2,3,3,3,3,5,5,4,3,3,60
Coda Automotive,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,2
Dodge,,2,2,3,7,5,,1,4,4,6,6,6,2,4,5,5,5,6,4,9,7,8,7,6,5,2,4,3,128
Ferrari,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
Fiat,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,6
Fisker Automotive,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
Ford,1,1,2,2,5,6,14,13,19,12,11,13,11,11,5,6,4,6,6,7,15,20,26,48,38,25,22,32,35,416
General Motors EV,,,,,,,1,2,2,2,2,,,,,,,,,,,,,,,,,,,9
GMC,,,,,,,1,1,1,3,5,6,6,7,6,5,4,5,5,3,8,14,22,19,19,13,20,23,16,212
Honda,,,,,,,,2,2,2,2,3,3,3,4,3,4,3,3,3,4,5,6,8,5,2,2,4,6,79
HUMMER,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
Hyundai,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,3,8,7,9,33
Infiniti,,,,,,,,,,,,,,,,,,,,,,1,1,4,4,4,5,3,,22
Jaguar,,,,,,,,,,,,,,,,,,,,,,,4,6,5,,4,5,6,30
Jeep,,,,,,,,,,,,,,,,,2,2,2,,2,1,1,1,3,3,4,3,2,26
Karma,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2
Kia,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,6,7,8,28
Land Rover,,,,,,,,,,,,,,,,,,,,,,,,4,3,,1,1,5,14
Lexus,,,,,,,,,,,,,,,,,,,2,2,5,5,5,5,7,7,5,8,9,60
Lincoln,,,,,,,,,,,,,,,,1,1,1,2,2,4,2,2,2,1,1,1,1,1,22
Mazda,,,,,,,,,1,1,1,1,1,,,,,1,1,2,2,1,,,,,,,,12
McLaren,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,3
Mercedes-Benz,,,,,,,,,,,,,1,3,5,,1,1,1,2,4,3,6,8,8,8,7,6,11,75
Mercury,,,,,,,,,,,,,3,3,2,1,1,1,2,5,5,,,,,,,,,23
Mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2
Mitsubishi,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,9
Nissan,,,,,,,,,1,1,2,2,2,,1,1,3,3,3,3,6,4,3,4,4,5,5,6,7,66
Plymouth,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,4
Porsche,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,2,4,7,7,29
QUANTUM-PROCON,,,,,,,,,,,,4,,,,,,,,,,,,,0,,,,,4
Ram,,,,,,,,,,,,,,,,,,,,,,2,4,5,6,6,6,5,7,41
Saab,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
Saturn,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,5
Scion,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,2
Smart,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,10
Solectria,,,,,,,,,4,2,3,1,1,1,,,,,,,,,,,,,,,,12
Suburu,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,4
Tesla,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,4,15,10,17,53
Toyota,,,,,,,,2,2,3,4,3,2,1,2,3,5,6,4,5,5,8,10,10,10,11,14,13,14,137
Vehicle Production Group,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,2
Volkswagen,,,,,,,,,,,,,,,,,,,,,1,2,3,2,3,2,1,,1,15
Volvo,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,10
"Wheego Electric Cars, Inc.",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1